cause,effect,count
accident,death,1458
disease,death,1344
pneumonia,death,1185
cancer,death,2446
illness,death,571
stroke,death,1742
complications,death,1166
infection,death,735
injuries,death,1143
negligence,death,1045
violence,death,306
injury,death,863
accident,injury,1481
drought,famine,191
injury,pain,701
shock,death,284
disease,deaths,425
dehydration,death,277
malnutrition,death,182
stress,illness,398
sin,death,1155
negligence,injury,942
war,death,388
fall,death,174
fire,death,171
death,death,235
stress,depression,560
stress,insomnia,338
depression,suicide,809
paralysis,death,227
diabetes,death,797
smoking,cancer,1483
anxiety,insomnia,242
endometriosis,infertility,528
diarrhea,dehydration,565
assault,injury,95
suffocation,death,278
aids,death,545
obesity,diabetes,585
bacteria,infection,1722
accidents,death,964
accident,injuries,770
negligence,injuries,624
exposure,disease,144
tuberculosis,death,416
overdose,death,285
infection,inflammation,325
stress,disease,309
diseases,death,430
stress,headaches,309
fire,damage,854
suicide,death,2060
starvation,death,228
disease,pain,646
accidents,deaths,275
disease,disability,232
infections,death,266
stress,problems,287
accidents,injuries,471
inflammation,pain,1316
injury,disability,248
infection,disease,325
bacteria,disease,994
condition,symptoms,551
bacteria,infections,5284
hypothermia,death,179
injuries,pain,296
smoking,death,1539
condition,death,499
poverty,crime,233
drug,death,104
pain,depression,258
accidents,injury,317
exposure,death,218
illness,disability,103
abuse,death,126
osteoporosis,fractures,361
arthritis,pain,2421
earthquake,tsunami,428
vaccines,autism,1032
asphyxia,death,152
storm,damage,235
sepsis,death,140
pain,pain,137
neglect,death,119
infection,fever,279
infection,diarrhea,290
negligence,accident,528
smoking,disease,382
accidents,fatalities,125
asbestos,mesothelioma,530
hemorrhage,death,140
accident,damage,450
accident,disability,118
war,destruction,465
malaria,death,291
virus,disease,802
bacteria,diseases,546
changes,changes,57
glaucoma,blindness,514
incident,death,145
incident,injury,180
surgery,complications,264
alcohol,problems,371
smoking,deaths,300
disease,blindness,251
disease,symptoms,539
diabetes,blindness,703
stress,fatigue,192
negligence,damage,547
injury,injury,103
stress,pain,234
bacteria,pneumonia,423
rape,pregnancy,960
hiv,aids,4064
war,deaths,208
cancer,deaths,275
